semantic precision[v1]@5,semantic precision[v1]@10,semantic precision[v1]@15,semantic precision [v2]@5,semantic precision [v2]@10,semantic precision [v2]@15,precision [v1]@5,precision [v1]@10,precision [v1]@15,precision [v2]@5,precision [v2]@10,precision [v2]@15,ndcg@5,ndcg@10,ndcg@15,ndcg@all
0.8757,0.7904,0.7228,0.3037,0.3238,0.3565,0.7761,0.6621,0.583,0.2551,0.25,0.2643,0.587,0.5378,0.5075,0.6857
0.8615,0.7778,0.7079,0.2908,0.3088,0.3418,0.7539,0.6379,0.5588,0.2408,0.2338,0.247,0.5601,0.5102,0.4808,0.6697
0.8695,0.7848,0.713,0.2827,0.3014,0.3349,0.7641,0.6465,0.5646,0.2309,0.2253,0.2404,0.5524,0.5044,0.4758,0.6668
0.9047,0.8202,0.7408,0.2641,0.2823,0.3162,0.7979,0.6796,0.5916,0.2103,0.2023,0.2163,0.5313,0.486,0.4585,0.6551
0.8856,0.8029,0.7265,0.2718,0.29,0.3234,0.78,0.6623,0.5768,0.2225,0.2132,0.2268,0.5422,0.4944,0.4662,0.6607
0.8934,0.8089,0.732,0.2706,0.2909,0.3256,0.7904,0.6686,0.5809,0.2201,0.213,0.2275,0.5424,0.4658,0.4674,0.6601
0.901,0.8145,0.7376,0.2621,0.2791,0.3123,0.7848,0.6629,0.5773,0.2094,0.1989,0.2123,0.5278,0.481,0.4531,0.6528
0.8978,0.8086,0.733,0.2637,0.2829,0.3172,0.7949,0.671,0.5834,0.2144,0.2068,0.2217,0.5341,0.4889,0.4614,0.6573
0.9077,0.8221,0.7462,0.269,0.2861,0.3199,0.8026,0.6806,0.594,0.2157,0.2068,0.2206,0.5421,0.4947,0.4667,0.6606
0.8697,0.786,0.716,0.2765,0.2935,0.3254,0.7632,0.6504,0.5688,0.2257,0.2164,0.2299,0.5406,0.4933,0.4652,0.6607
