,seed,Precision v1@5,Precision v1@10,Precision v1@15,Precision v1@20,Precision v1@25,Precision v1@30,Precision v1@35,Precision v1@40,Precision v1@45,Precision v1@50,Precision v2@5,Precision v2@10,Precision v2@15,Precision v2@20,Precision v2@25,Precision v2@30,Precision v2@35,Precision v2@40,Precision v2@45,Precision v2@50,ndcg@5,ndcg@10,ndcg@15,ndcg@20,ndcg@25,ndcg@30,ndcg@35,ndcg@40,ndcg@45,ndcg@50,ndcg@all
0,123,0.9442,0.8449,0.7292,0.6086,0.5137,0.44,0.384,0.34,0.3051,0.2767,0.5623,0.6613,0.6837,0.5941,0.5108,0.4399,0.384,0.34,0.3051,0.2767,0.8479,0.8242,0.8161,0.8304,0.8402,0.8474,0.8529,0.8564,0.8594,0.8618,0.891
1,234,0.941,0.8481,0.7284,0.6079,0.5125,0.4398,0.3834,0.3396,0.3048,0.2766,0.5641,0.66,0.6833,0.5946,0.51,0.4396,0.3834,0.3396,0.3048,0.2766,0.8461,0.8244,0.8144,0.8288,0.8385,0.8459,0.8511,0.8549,0.858,0.8604,0.8901
2,345,0.9453,0.8466,0.7299,0.6097,0.5135,0.44,0.3837,0.3398,0.3049,0.2767,0.5574,0.6566,0.684,0.5949,0.5106,0.4399,0.3836,0.3398,0.3049,0.2767,0.8473,0.8232,0.8153,0.8298,0.8395,0.8467,0.8518,0.8556,0.8586,0.8611,0.8906
3,456,0.9465,0.8466,0.7294,0.6091,0.5134,0.4398,0.383,0.3393,0.3044,0.2761,0.5579,0.6566,0.6823,0.5939,0.5105,0.4396,0.383,0.3393,0.3044,0.2761,0.8474,0.8231,0.8142,0.8288,0.8386,0.8457,0.8508,0.8546,0.8575,0.8598,0.8901
4,567,0.9444,0.8491,0.7303,0.6097,0.5142,0.4408,0.3841,0.3402,0.3054,0.2769,0.5598,0.6587,0.6845,0.5949,0.5114,0.4406,0.384,0.3402,0.3054,0.2769,0.8475,0.8246,0.8157,0.8301,0.8402,0.8476,0.8526,0.8565,0.8595,0.8619,0.8912
5,678,0.9445,0.8501,0.7313,0.6095,0.5136,0.4401,0.384,0.34,0.3049,0.2765,0.56,0.6586,0.6853,0.5948,0.5107,0.4399,0.384,0.34,0.3049,0.2765,0.8475,0.8249,0.8159,0.8299,0.8397,0.8469,0.8524,0.8562,0.8589,0.8613,0.8909
6,789,0.9442,0.8465,0.7298,0.6083,0.5123,0.4395,0.3837,0.3398,0.305,0.2767,0.5585,0.6567,0.6816,0.593,0.5093,0.4394,0.3837,0.3398,0.305,0.2767,0.8472,0.8234,0.8153,0.8291,0.8385,0.8461,0.8517,0.8555,0.8585,0.8609,0.8906
7,890,0.9426,0.8478,0.7307,0.6089,0.5139,0.4404,0.3843,0.3404,0.3055,0.2771,0.5604,0.6597,0.6855,0.5945,0.5111,0.4402,0.3843,0.3404,0.3055,0.2771,0.8462,0.8232,0.8152,0.829,0.8389,0.8463,0.8517,0.8555,0.8586,0.861,0.8904
8,911,0.9458,0.8459,0.7286,0.6083,0.5128,0.4399,0.3839,0.3402,0.3053,0.2769,0.5614,0.6571,0.6837,0.5943,0.51,0.4398,0.3839,0.3402,0.3053,0.2769,0.849,0.8237,0.8153,0.8301,0.8398,0.8472,0.8527,0.8566,0.8596,0.862,0.8914
9,912,0.9428,0.8439,0.7266,0.6072,0.5126,0.4399,0.3838,0.3398,0.3051,0.2766,0.562,0.66,0.6812,0.5924,0.5097,0.4398,0.3837,0.3398,0.3051,0.2766,0.8469,0.823,0.8141,0.8285,0.8386,0.8464,0.8519,0.8555,0.8585,0.8608,0.8905
