,seed,Precision v1@5,Precision v1@10,Precision v1@15,Precision v1@20,Precision v1@25,Precision v1@30,Precision v1@35,Precision v1@40,Precision v1@45,Precision v1@50,Precision v2@5,Precision v2@10,Precision v2@15,Precision v2@20,Precision v2@25,Precision v2@30,Precision v2@35,Precision v2@40,Precision v2@45,Precision v2@50,ndcg@5,ndcg@10,ndcg@15,ndcg@20,ndcg@25,ndcg@30,ndcg@35,ndcg@40,ndcg@45,ndcg@50,ndcg@all
0,123,0.7172,0.6047,0.5261,0.4683,0.425,0.3898,0.3616,0.3373,0.3169,0.2994,0.23,0.2251,0.239,0.2538,0.2702,0.2813,0.2847,0.2813,0.2753,0.2682,0.5348,0.4866,0.458,0.4406,0.4311,0.4267,0.4262,0.4278,0.4306,0.4341,0.6553
1,234,0.7303,0.6161,0.5367,0.4792,0.4355,0.3998,0.3704,0.3462,0.3253,0.3073,0.2329,0.2278,0.2403,0.2558,0.2717,0.2823,0.2853,0.2832,0.2775,0.2706,0.5418,0.4929,0.4642,0.4471,0.4374,0.4329,0.432,0.4337,0.4363,0.4396,0.659
2,345,0.7384,0.6257,0.5456,0.4879,0.4435,0.4076,0.378,0.3531,0.3321,0.3137,0.2447,0.2387,0.2497,0.2644,0.279,0.2889,0.2919,0.2887,0.2829,0.2758,0.558,0.508,0.4782,0.4603,0.4498,0.4448,0.4438,0.4451,0.4477,0.4509,0.6672
3,456,0.8026,0.6806,0.594,0.5297,0.481,0.442,0.4096,0.3826,0.3595,0.3397,0.2157,0.2068,0.2206,0.2417,0.2643,0.2822,0.2911,0.2924,0.2894,0.2845,0.5421,0.4947,0.4667,0.4497,0.4402,0.4358,0.4349,0.4365,0.4392,0.4426,0.6606
4,567,0.7283,0.6133,0.5343,0.4764,0.4322,0.3971,0.3677,0.3439,0.3236,0.3061,0.2296,0.2233,0.236,0.2521,0.268,0.2796,0.2832,0.2813,0.2764,0.2699,0.537,0.4884,0.4597,0.4424,0.4324,0.428,0.427,0.4287,0.4316,0.4352,0.6565
5,678,0.7707,0.6476,0.5643,0.5035,0.4569,0.4198,0.3892,0.3636,0.3419,0.3231,0.2204,0.2138,0.2275,0.2472,0.2667,0.2817,0.2876,0.287,0.2831,0.2774,0.5382,0.4911,0.4629,0.4462,0.4365,0.4321,0.4312,0.4327,0.4355,0.4389,0.6583
6,789,0.7904,0.6686,0.5809,0.5174,0.4691,0.4309,0.3993,0.3724,0.35,0.3305,0.2201,0.213,0.2275,0.247,0.2679,0.2835,0.291,0.2908,0.2871,0.2814,0.5424,0.4958,0.4674,0.4502,0.4403,0.4358,0.4349,0.4362,0.4388,0.4421,0.6601
7,890,0.7645,0.6459,0.5635,0.503,0.4571,0.4196,0.3892,0.3635,0.3415,0.323,0.2196,0.2114,0.2256,0.2443,0.2649,0.2796,0.2856,0.2851,0.281,0.2757,0.5342,0.4866,0.4592,0.4426,0.4334,0.429,0.4283,0.4298,0.4325,0.4362,0.6564
8,911,0.7503,0.6359,0.5551,0.4961,0.4502,0.4138,0.3842,0.3587,0.3372,0.3188,0.2298,0.2237,0.2375,0.2555,0.2729,0.2859,0.2907,0.2887,0.2837,0.2773,0.5442,0.4973,0.469,0.452,0.4421,0.4377,0.4372,0.4386,0.4413,0.4447,0.6624
9,912,0.7559,0.6399,0.5577,0.4986,0.4525,0.4157,0.3861,0.3604,0.3385,0.3199,0.2327,0.2254,0.2392,0.2576,0.2761,0.2887,0.294,0.2918,0.2861,0.2794,0.5503,0.502,0.473,0.4557,0.4456,0.441,0.4406,0.442,0.4445,0.4479,0.6647
