semantic precision[v1]@5,semantic precision[v1]@10,semantic precision[v1]@15,semantic precision [v2]@5,semantic precision [v2]@10,semantic precision [v2]@15,precision [v1]@5,precision [v1]@10,precision [v1]@15,precision [v2]@5,precision [v2]@10,precision [v2]@15,ndcg@5,ndcg@10,ndcg@15,ndcg@all
0.9671,0.877,0.7578,0.6082,0.7093,0.7186,0.9425,0.8417,0.7265,0.5611,0.66,0.6831,0.8456,0.8214,0.8134,0.889
0.9674,0.8783,0.7539,0.613,0.7137,0.7158,0.939,0.839,0.7194,0.5608,0.6643,0.6486,0.8451,0.8223,0.8123,0.8888
0.9667,0.8801,0.7604,0.6041,0.7095,0.7212,0.9417,0.8431,0.7261,0.5558,0.6594,0.683,0.8452,0.822,0.8136,0.8896
0.9707,0.8822,0.7606,0.611,0.7115,0.7206,0.943,0.8436,0.7262,0.5613,0.6602,0.6827,0.8479,0.8241,0.8147,0.8907
0.9669,0.8789,0.7595,0.6086,0.7123,0.7212,0.9385,0.8414,0.7241,0.559,0.663,0.6828,0.846,0.8231,0.8145,0.8904
0.9695,0.8817,0.7615,0.6082,0.7069,0.7204,0.9423,0.8466,0.7283,0.5581,0.6587,0.6833,0.8469,0.8237,0.8146,0.8905
0.97,0.8818,0.7603,0.6093,0.7123,0.7203,0.9421,0.8438,0.7254,0.559,0.6621,0.6819,0.8469,0.8239,0.8146,0.8906
0.966,0.879,0.7575,0.606,0.7132,0.7184,0.9373,0.8399,0.7223,0.5587,0.6637,0.6803,0.8454,0.8227,0.813,0.8901
0.9671,0.8777,0.7591,0.6076,0.7102,0.7198,0.9413,0.8444,0.7274,0.5586,0.6625,0.6838,0.8454,0.8235,0.8148,0.8905
0.9658,0.876,0.7534,0.6097,0.7144,0.7146,0.937,0.8377,0.7203,0.5587,0.6646,0.6782,0.8447,0.8225,0.8131,0.8895
